code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,disability,total_dataplus_clicks,total_dualpane_clicks,total_external_quiz_clicks,total_folder_clicks,total_forum_clicks,total_glossary_clicks,total_homepage_clicks,total_hrml_clicks,total_collaborate_clicks,total_content_clicks,total_elluminate_clicks,total_wiki_clicks,total_page_clicks,total_questionnaire_clicks,total_quiz_clicks,total_repeated_clicks,total_resource_clicks,total_shared_clicks,total_subpage_clicks,total_url_clicks,total_activities,total_clicks,label
AAA,2013-Oct,28400,F,Scotland,HE Qualification,20-30%,35-55,N,0,48,30,10,2,0,0,243,1,225,0,1,421,0,0,0,0,0,1,8,120,990,Pass
AAA,2013-Oct,30268,F,North Western Region,A Level or Equivalent,30-40%,35-55,Y,0,2,1,0,2,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,9,10,Withdrawn
AAA,2013-Oct,31604,F,South East Region,A Level or Equivalent,50-60%,35-55,N,0,122,85,2,2,0,0,537,0,368,0,1,714,0,0,0,0,0,2,9,152,1842,Pass
AAA,2013-Oct,32885,F,West Midlands Region,Lower Than A Level,50-60%,0-35,N,1,62,11,1,1,0,0,70,2,123,0,1,259,0,0,0,1,0,1,38,98,571,Pass
AAA,2013-Oct,38053,M,Wales,A Level or Equivalent,80-90%,35-55,N,0,75,43,8,1,0,0,603,4,387,0,0,775,0,1,1,0,0,2,5,143,1905,Pass
AAA,2013-Oct,45462,M,Scotland,HE Qualification,30-40%,0-35,N,0,79,19,4,0,0,0,100,0,276,0,1,759,0,0,0,0,0,1,5,101,1244,Pass
AAA,2013-Oct,45642,F,North Western Region,A Level or Equivalent,90-100%,0-35,N,0,117,56,5,1,0,0,384,0,265,1,0,475,0,0,1,0,0,2,14,142,1321,Pass
AAA,2013-Oct,52130,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,N,0,213,128,9,1,1,0,298,0,445,0,0,696,1,0,0,0,0,2,18,142,1812,Pass
AAA,2013-Oct,53025,M,North Region,Post Graduate Qualification,10-20%,55<=,N,0,102,75,4,0,1,0,1820,0,353,0,0,432,0,0,0,1,0,1,2,146,2791,Pass
AAA,2013-Oct,57506,M,South Region,Lower Than A Level,70-80%,35-55,N,1,107,48,6,1,0,0,24,8,285,0,0,516,2,0,0,0,0,1,14,116,1013,Pass
AAA,2013-Oct,58873,F,East Anglian Region,A Level or Equivalent,20-30%,0-35,N,0,92,72,9,1,1,0,182,1,416,0,0,683,0,0,0,0,0,2,3,136,1462,Pass
AAA,2013-Oct,59185,M,East Anglian Region,Lower Than A Level,60-70%,35-55,N,1,82,24,1,1,1,0,185,0,144,0,2,263,0,0,0,0,0,1,6,95,711,Pass
AAA,2013-Oct,62155,F,North Western Region,HE Qualification,50-60%,0-35,N,0,53,0,13,1,0,0,1184,0,460,1,1,1352,0,0,0,0,0,1,19,131,3085,Pass
AAA,2013-Oct,63400,M,Scotland,Lower Than A Level,40-50%,35-55,N,1,184,118,26,1,0,0,338,0,466,1,1,1202,0,0,0,0,0,1,5,168,2344,Pass
AAA,2013-Oct,65002,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,N,0,14,0,1,1,1,0,7,0,20,0,0,63,1,0,0,0,0,2,3,24,113,Withdrawn
AAA,2013-Oct,70464,F,West Midlands Region,A Level or Equivalent,60-70%,35-55,N,0,31,18,0,2,0,0,71,0,205,0,0,462,0,0,0,1,0,2,4,67,796,Pass
AAA,2013-Oct,71361,M,Ireland,HE Qualification,0-10%,35-55,N,0,118,77,4,1,0,0,460,0,281,0,0,713,0,0,0,1,0,1,40,130,1696,Pass
AAA,2013-Oct,74372,M,East Anglian Region,A Level or Equivalent,10-20%,35-55,N,0,21,2,1,1,1,0,15,0,30,0,0,37,0,0,0,0,0,2,2,35,112,Fail
AAA,2013-Oct,75091,M,South West Region,A Level or Equivalent,30-40%,35-55,N,0,122,39,12,1,0,0,613,0,477,0,0,1050,0,1,0,0,0,2,22,148,2339,Pass
AAA,2013-Oct,77367,M,East Midlands Region,A Level or Equivalent,30-40%,0-35,N,0,59,19,2,0,0,1,23,0,198,0,0,203,0,0,0,0,0,2,5,82,512,Pass
AAA,2013-Oct,91265,M,North Western Region,HE Qualification,0-10%,0-35,N,0,105,31,10,0,0,1,3,0,390,1,0,817,0,0,0,0,0,1,7,118,1366,Pass
AAA,2013-Oct,94961,M,South Region,Lower Than A Level,70-80%,35-55,N,1,35,9,1,1,0,0,4,0,28,0,0,62,2,0,0,0,0,1,1,26,145,Withdrawn
AAA,2013-Oct,98094,M,Wales,Lower Than A Level,70-80%,35-55,N,1,98,7,10,1,0,0,13,0,319,0,0,1505,1,0,1,0,0,1,6,91,1963,Pass
AAA,2013-Oct,100893,M,Yorkshire Region,A Level or Equivalent,20-30%,0-35,N,0,58,20,6,0,0,0,237,1,142,0,0,209,0,0,0,0,1,2,5,82,681,Pass
AAA,2013-Oct,101781,M,South Region,Lower Than A Level,80-90%,35-55,N,1,233,152,10,1,0,0,527,0,537,0,0,1704,1,1,0,0,0,1,14,170,3182,Pass
AAA,2013-Oct,102806,M,North Western Region,A Level or Equivalent,30-40%,0-35,N,0,63,1,5,0,0,0,387,0,455,1,0,628,0,0,0,0,0,2,12,138,1554,Pass
AAA,2013-Oct,102952,M,London Region,HE Qualification,60-70%,0-35,N,0,93,25,7,0,0,0,146,1,137,0,0,481,0,0,0,0,0,1,21,92,912,Pass
AAA,2013-Oct,104476,M,Ireland,Post Graduate Qualification,0-10%,35-55,N,0,210,95,10,1,0,0,158,0,595,0,0,2612,0,0,0,1,0,1,35,163,3718,Pass
AAA,2013-Oct,106247,M,South Region,HE Qualification,80-90%,35-55,N,0,39,3,1,1,0,0,59,0,115,0,1,222,1,1,0,0,0,1,18,57,462,Withdrawn
AAA,2013-Oct,106577,M,East Midlands Region,Lower Than A Level,20-30%,0-35,N,1,37,0,2,0,0,1,65,1,122,0,0,294,0,0,0,0,0,1,6,64,530,Pass
AAA,2013-Oct,110175,M,East Anglian Region,HE Qualification,80-90%,35-55,N,0,136,53,1,1,1,0,6,0,178,0,0,429,0,1,0,0,0,1,41,117,848,Pass
AAA,2013-Oct,111717,F,East Anglian Region,HE Qualification,90-100%,35-55,N,0,120,51,13,2,1,0,192,0,415,0,2,1025,0,0,1,0,0,1,13,129,1836,Pass
AAA,2013-Oct,113295,M,Yorkshire Region,Lower Than A Level,60-70%,35-55,N,1,215,116,17,1,0,0,699,0,894,0,0,1158,0,0,0,0,1,1,27,171,3130,Pass
AAA,2013-Oct,114017,F,North Region,Post Graduate Qualification,10-20%,35-55,N,0,143,40,0,2,0,0,1,0,117,0,0,223,0,0,0,1,0,1,20,60,548,Pass
AAA,2013-Oct,114999,M,Yorkshire Region,HE Qualification,60-70%,35-55,N,0,54,30,7,1,0,0,98,0,194,0,2,736,0,0,0,0,1,1,21,134,1145,Pass
AAA,2013-Oct,116541,M,Wales,HE Qualification,0-10%,0-35,N,0,122,103,5,0,0,1,50,0,368,0,0,1078,0,0,1,0,0,1,2,118,1731,Pass
AAA,2013-Oct,116692,M,East Anglian Region,A Level or Equivalent,70-80%,35-55,N,0,53,36,1,1,1,0,9,0,218,0,0,380,1,0,0,0,0,2,2,101,704,Pass
AAA,2013-Oct,118983,M,East Midlands Region,HE Qualification,30-40%,0-35,N,0,41,5,2,0,0,1,9,0,57,0,0,142,0,0,0,0,0,1,15,48,273,Pass
AAA,2013-Oct,123044,M,South Region,A Level or Equivalent,40-50%,35-55,N,0,179,85,4,1,0,0,303,0,415,1,0,726,1,0,0,0,0,2,7,133,1724,Pass
AAA,2013-Oct,127582,F,East Midlands Region,A Level or Equivalent,40-50%,0-35,N,0,85,25,1,1,0,1,145,0,288,1,0,612,0,0,0,0,0,2,16,115,1177,Pass
AAA,2013-Oct,129955,M,West Midlands Region,A Level or Equivalent,50-60%,0-35,N,0,27,15,8,0,0,0,14,0,236,0,1,490,0,0,0,1,0,2,1,56,795,Withdrawn
AAA,2013-Oct,132976,F,East Anglian Region,Lower Than A Level,80-90%,35-55,N,1,40,2,6,2,1,0,45,0,77,0,0,240,0,1,0,0,0,1,6,61,422,Pass
AAA,2013-Oct,134143,F,South East Region,A Level or Equivalent,90-100%,35-55,N,0,38,0,24,2,0,0,16,0,438,0,4,1704,0,0,1,0,0,2,22,106,2251,Distinction
AAA,2013-Oct,135335,F,East Anglian Region,Lower Than A Level,20-30%,0-35,N,1,3,0,1,1,1,0,0,1,14,0,0,26,0,0,0,0,0,1,1,14,50,Withdrawn
AAA,2013-Oct,135400,F,South East Region,Lower Than A Level,90-100%,35-55,Y,1,41,12,0,2,0,0,14,0,45,0,0,86,0,0,1,0,1,0,3,40,206,Withdrawn
AAA,2013-Oct,137873,M,South West Region,A Level or Equivalent,40-50%,35-55,N,0,182,59,6,1,0,0,2498,0,975,1,0,1332,0,1,0,0,0,2,22,169,5079,Pass
AAA,2013-Oct,141355,F,East Midlands Region,A Level or Equivalent,30-40%,0-35,N,0,82,27,8,1,0,1,763,0,221,0,0,440,0,0,0,0,0,2,16,121,1561,Pass
AAA,2013-Oct,141377,M,South West Region,A Level or Equivalent,90-100%,0-35,N,0,27,0,3,0,0,0,25,2,31,0,0,48,0,1,1,0,0,2,5,22,145,Withdrawn
AAA,2013-Oct,142326,F,North Region,A Level or Equivalent,50-60%,35-55,N,0,158,103,17,2,0,0,329,0,458,0,1,782,0,0,0,0,0,2,11,151,1863,Pass
AAA,2013-Oct,144801,F,South Region,HE Qualification,80-90%,35-55,N,0,272,133,0,2,0,0,1859,1,972,0,0,1861,1,1,0,0,0,1,34,189,5137,Pass
AAA,2013-Oct,145130,M,South West Region,HE Qualification,60-70%,0-35,N,0,18,0,2,0,0,0,49,0,85,0,0,209,0,1,0,0,0,1,10,49,375,Pass
AAA,2013-Oct,146188,F,West Midlands Region,A Level or Equivalent,20-30%,0-35,Y,0,40,5,1,1,0,0,58,1,123,0,0,278,0,0,0,1,1,1,9,55,519,Fail
AAA,2013-Oct,147756,M,North Region,Lower Than A Level,60-70%,0-35,N,1,33,3,2,0,0,0,53,0,119,0,0,163,0,0,0,0,0,1,2,69,377,Fail
AAA,2013-Oct,147793,F,North Region,Lower Than A Level,80-90%,0-35,N,1,17,0,1,1,0,0,52,0,32,0,0,35,0,1,0,0,0,1,2,21,143,Withdrawn
AAA,2013-Oct,148993,F,North Western Region,A Level or Equivalent,30-40%,35-55,Y,0,42,12,3,2,0,0,622,1,302,1,0,313,0,0,0,0,1,1,7,95,1307,Withdrawn
AAA,2013-Oct,151358,F,London Region,A Level or Equivalent,80-90%,0-35,N,0,38,5,1,1,0,0,3,1,31,0,0,164,0,1,0,0,0,2,6,43,253,Pass
AAA,2013-Oct,155550,M,London Region,A Level or Equivalent,0-10%,35-55,N,0,150,69,1,1,0,1,75,1,303,0,0,768,0,0,0,0,0,2,30,110,1401,Pass
AAA,2013-Oct,155854,F,East Midlands Region,A Level or Equivalent,20-30%,35-55,N,0,60,4,40,2,0,1,637,1,880,0,0,1668,0,0,0,0,0,2,21,145,3316,Pass
AAA,2013-Oct,155984,F,East Anglian Region,Lower Than A Level,70-80%,0-35,N,1,65,36,1,1,1,0,124,0,122,0,0,244,1,0,0,0,0,1,4,72,601,Withdrawn
AAA,2013-Oct,157568,F,South West Region,A Level or Equivalent,90-100%,0-35,N,0,101,73,9,1,0,0,24,0,238,0,0,781,0,1,1,0,0,2,3,105,1234,Pass
AAA,2013-Oct,159954,M,East Midlands Region,A Level or Equivalent,40-50%,35-55,N,0,66,38,1,1,0,1,71,1,171,1,0,464,0,0,0,0,0,2,1,68,818,Withdrawn
