code_module,code_presentation,gender,region,highest_education,imd_band,age_band,disability,total_dataplus_clicks,total_dualpane_clicks,total_external_quiz_clicks,total_folder_clicks,total_forum_clicks,total_glossary_clicks,total_homepage_clicks,total_hrml_clicks,total_collaborate_clicks,total_content_clicks,total_elluminate_clicks,total_wiki_clicks,total_page_clicks,total_questionnaire_clicks,total_quiz_clicks,total_repeated_clicks,total_resource_clicks,total_shared_clicks,total_subpage_clicks,total_url_clicks,total_activities,total_clicks,label
0,1,0,6,1,2,1,0,0,48,30,10,2,0,0,243,1,225,0,1,421,0,0,0,0,0,1,8,120,990,Pass
0,1,0,5,0,3,1,1,0,2,1,0,2,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,9,10,Withdrawn
0,1,0,7,0,5,1,0,0,122,85,2,2,0,0,537,0,368,0,1,714,0,0,0,0,0,2,9,152,1842,Pass
0,1,0,11,2,5,0,0,1,62,11,1,1,0,0,70,2,123,0,1,259,0,0,0,1,0,1,38,98,571,Pass
0,1,1,10,0,8,1,0,0,75,43,8,1,0,0,603,4,387,0,0,775,0,1,1,0,0,2,5,143,1905,Pass
0,1,1,6,1,3,0,0,0,79,19,4,0,0,0,100,0,276,0,1,759,0,0,0,0,0,1,5,101,1244,Pass
0,1,0,5,0,9,0,0,0,117,56,5,1,0,0,384,0,265,1,0,475,0,0,1,0,0,2,14,142,1321,Pass
0,1,0,0,0,7,0,0,0,213,128,9,1,1,0,298,0,445,0,0,696,1,0,0,0,0,2,18,142,1812,Pass
0,1,1,4,4,1,2,0,0,102,75,4,0,1,0,1820,0,353,0,0,432,0,0,0,1,0,1,2,146,2791,Pass
0,1,1,8,2,7,1,0,1,107,48,6,1,0,0,24,8,285,0,0,516,2,0,0,0,0,1,14,116,1013,Pass
0,1,0,0,0,2,0,0,0,92,72,9,1,1,0,182,1,416,0,0,683,0,0,0,0,0,2,3,136,1462,Pass
0,1,1,0,2,6,1,0,1,82,24,1,1,1,0,185,0,144,0,2,263,0,0,0,0,0,1,6,95,711,Pass
0,1,0,5,1,5,0,0,0,53,0,13,1,0,0,1184,0,460,1,1,1352,0,0,0,0,0,1,19,131,3085,Pass
0,1,1,6,2,4,1,0,1,184,118,26,1,0,0,338,0,466,1,1,1202,0,0,0,0,0,1,5,168,2344,Pass
0,1,0,0,0,7,0,0,0,14,0,1,1,1,0,7,0,20,0,0,63,1,0,0,0,0,2,3,24,113,Withdrawn
0,1,0,11,0,6,1,0,0,31,18,0,2,0,0,71,0,205,0,0,462,0,0,0,1,0,2,4,67,796,Pass
0,1,1,2,1,0,1,0,0,118,77,4,1,0,0,460,0,281,0,0,713,0,0,0,1,0,1,40,130,1696,Pass
0,1,1,0,0,1,1,0,0,21,2,1,1,1,0,15,0,30,0,0,37,0,0,0,0,0,2,2,35,112,Fail
0,1,1,9,0,3,1,0,0,122,39,12,1,0,0,613,0,477,0,0,1050,0,1,0,0,0,2,22,148,2339,Pass
0,1,1,1,0,3,0,0,0,59,19,2,0,0,1,23,0,198,0,0,203,0,0,0,0,0,2,5,82,512,Pass
0,1,1,5,1,0,0,0,0,105,31,10,0,0,1,3,0,390,1,0,817,0,0,0,0,0,1,7,118,1366,Pass
0,1,1,8,2,7,1,0,1,35,9,1,1,0,0,4,0,28,0,0,62,2,0,0,0,0,1,1,26,145,Withdrawn
0,1,1,10,2,7,1,0,1,98,7,10,1,0,0,13,0,319,0,0,1505,1,0,1,0,0,1,6,91,1963,Pass
0,1,1,12,0,2,0,0,0,58,20,6,0,0,0,237,1,142,0,0,209,0,0,0,0,1,2,5,82,681,Pass
0,1,1,8,2,8,1,0,1,233,152,10,1,0,0,527,0,537,0,0,1704,1,1,0,0,0,1,14,170,3182,Pass
